City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
122,Kourou,GF,87.8,few clouds,5.1552,-52.6478,Lodge Takini 4
129,Majene,ID,77.5,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
130,Tessalit,ML,80.98,clear sky,20.1986,1.0114,
131,Vaini,TO,77.0,heavy intensity rain,-21.2,-175.2,Keleti Beach Resort
133,Kavieng,PG,78.8,moderate rain,-2.5744,150.7967,Nusa Island Retreat
138,Butaritari,KI,81.91,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
140,Yopal,CO,88.56,moderate rain,5.3378,-72.3959,GHL Style Yopal
141,Castro,BR,82.17,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
144,Port Blair,IN,81.9,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
148,Nampula,MZ,77.0,few clouds,-15.1165,39.2666,BUTIK Hotel
150,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
156,Alugan,PH,78.87,overcast clouds,12.2188,125.4808,JM Lodge
165,Bengkulu,ID,76.59,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
168,Namatanai,PG,78.57,light rain,-3.6667,152.4333,Namatanai Hotel
169,Maceio,BR,84.2,broken clouds,-9.6658,-35.7353,Poutur Pousada
170,Salalah,OM,80.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
174,Concepcion Del Uruguay,AR,81.0,broken clouds,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
177,Hithadhoo,MV,83.57,broken clouds,-0.6,73.0833,Scoop Guest House
182,Souillac,MU,77.0,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
183,Faanui,PF,83.05,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
189,Poum,NC,79.54,overcast clouds,-20.2333,164.0167,Gîte kajeon
194,Kloulklubed,PW,78.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
196,Buin,CL,77.0,few clouds,-33.7333,-70.75,Paihuen
205,George Town,MY,80.01,few clouds,5.4112,100.3354,Cititel Penang
206,Lazaro Cardenas,MX,80.83,clear sky,17.9583,-102.2,Hotel Quinta Antigua
207,Cartagena Del Chaira,CO,82.36,moderate rain,1.3349,-74.8429,HOTEL LA ROCA
208,Coahuayana,MX,78.8,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
211,Kingsland,US,82.0,overcast clouds,30.8,-81.6898,Microtel Inn & Suites by Wyndham Kingsland
218,Tecoanapa,MX,80.96,clear sky,16.5167,-98.75,Hotel Manglares
221,Phaltan,IN,84.16,few clouds,17.9833,74.4333,Hotel New Vijay
223,Bani,DO,87.8,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
229,Fare,PF,82.96,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
233,Itarema,BR,83.16,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
236,Vadakku Valliyur,IN,79.7,overcast clouds,8.3833,77.65,Christopher Cottage
239,High Rock,BS,82.4,scattered clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
240,Lat Yao,TH,84.0,overcast clouds,15.751,99.7893,ห้างหุ้นส่วนจำกัด ลาดยาวการเกษตร
241,Cap Malheureux,MU,78.01,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
244,Tonj,SS,86.86,overcast clouds,7.2737,28.6822,
245,Caravelas,BR,85.39,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
246,Mount Pleasant,US,78.01,scattered clouds,32.7941,-79.8626,Best Western Patriots Point
251,Remanso,BR,89.94,clear sky,-9.6179,-42.0831,Hotel Mangueira
256,Grand-Santi,GF,84.07,light rain,4.25,-54.3833,Hotel La Villa Couacou
257,Carauari,BR,82.11,overcast clouds,-4.8828,-66.8958,Hotel Fellip
263,Puerto Lopez,CO,79.57,overcast clouds,4.0845,-72.956,Resguardo Indigena Maguare
264,San Policarpo,PH,79.47,overcast clouds,12.1791,125.5072,JM Lodge
265,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
267,Taoudenni,ML,81.68,clear sky,22.6783,-3.9836,
270,Bandarbeyla,SO,78.24,clear sky,9.4942,50.8122,JABIR HOTEL
274,Sompeta,IN,80.44,clear sky,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
276,Araouane,ML,86.2,clear sky,18.9048,-3.5265,
278,Belmonte,BR,84.2,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
282,Buloh Kasap,MY,77.0,few clouds,2.5536,102.764,Teratak Ixora Segamat
287,Siocon,PH,79.25,overcast clouds,7.7061,122.1353,ABS Hotel
289,Cuncolim,IN,82.4,broken clouds,15.1667,73.9833,Holiday Inn Resort Goa
290,Mount Isa,AU,75.2,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
292,Roebourne,AU,82.0,light rain,-20.7833,117.1333,Harding River Caravan Park
296,North Fort Myers,US,82.0,broken clouds,26.6673,-81.8801,Best Western Fort Myers Waterfront
297,Arecibo,PR,84.0,clear sky,18.4724,-66.7157,Atlantic Sand Oasis
302,Axim,GH,81.18,moderate rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
303,Auki,SB,76.12,broken clouds,-8.7676,160.7034,Auki Motel
307,Baghmara,IN,84.0,few clouds,23.795,86.2085,Shankar tea shop
310,Alyangula,AU,82.47,light rain,-13.8483,136.4192,Groote Eylandt Lodge
