City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
136,Mehamn,NO,71.0357,27.8492,32.0,80,20,16.11,few clouds
137,Konakovo,RU,56.7,36.7667,31.39,94,63,4.72,broken clouds
138,Butaritari,KI,3.0707,172.7902,81.91,78,41,20.13,scattered clouds
139,Saint-Augustin,CA,51.226,-58.6502,33.19,98,86,1.77,overcast clouds
140,Yopal,CO,5.3378,-72.3959,88.56,49,97,3.8,moderate rain
141,Castro,BR,-24.7911,-50.0119,82.17,49,93,5.17,moderate rain
142,Berlevag,NO,70.8578,29.0864,37.4,70,40,17.27,scattered clouds
143,Damaturu,NG,11.747,11.9608,91.49,12,7,9.66,clear sky
144,Port Blair,IN,11.6667,92.75,81.9,77,88,4.97,overcast clouds
145,Constitucion,CL,-35.3333,-72.4167,64.8,64,74,17.2,broken clouds
146,Alice Springs,AU,-23.7,133.8833,64.4,94,9,6.46,mist
147,Umtata,ZA,-31.5889,28.7844,60.8,88,75,6.91,broken clouds
148,Nampula,MZ,-15.1165,39.2666,77.0,83,20,10.36,few clouds
149,Hofn,IS,64.2539,-15.2082,41.0,60,40,6.91,scattered clouds
150,Cockburn Town,TC,21.4612,-71.1419,80.6,69,40,11.5,scattered clouds
151,Oranjemund,NA,-28.55,16.4333,65.28,85,7,3.56,clear sky
152,Krasnyy Kholm,RU,58.0607,37.1203,32.09,94,91,7.74,overcast clouds
153,Whitehaven,GB,54.549,-3.5841,45.0,90,57,10.0,moderate rain
154,Husavik,IS,66.0449,-17.3389,35.6,69,90,12.66,overcast clouds
155,Dzilam Gonzalez,MX,21.2833,-88.9333,93.56,37,36,9.91,scattered clouds
156,Alugan,PH,12.2188,125.4808,78.87,85,97,11.5,overcast clouds
157,Upington,ZA,-28.4478,21.2561,68.0,68,0,11.5,clear sky
158,Sao Filipe,CV,14.8961,-24.4956,71.87,75,0,17.22,clear sky
159,Ribeira Grande,PT,38.5167,-28.7,60.8,59,20,10.36,few clouds
160,Dikson,RU,73.5069,80.5464,-3.78,98,88,3.74,overcast clouds
161,Vestmannaeyjar,IS,63.4427,-20.2734,37.4,65,40,13.8,scattered clouds
162,Tornio,FI,65.8481,24.1466,37.4,70,0,13.8,clear sky
163,Praia Da Vitoria,PT,38.7333,-27.0667,59.0,63,20,5.28,few clouds
164,Atoka,US,34.4001,-96.0169,64.4,52,1,4.61,clear sky
165,Bengkulu,ID,-3.8004,102.2655,76.59,85,100,4.05,light rain
166,Stoughton,US,42.1251,-71.1023,64.4,34,1,6.87,clear sky
167,Theunissen,ZA,-28.411,26.7011,55.83,93,95,7.43,light rain
168,Namatanai,PG,-3.6667,152.4333,78.57,81,100,3.18,light rain
