City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Rikitea,PF,2021-03-24 17:23:10,-23.1203,-134.9692,78.94,68,9,13.91
100,Eldoret,KE,2021-03-24 17:26:58,0.5204,35.2699,62.6,42,0,11.5
101,Hofn,IS,2021-03-24 17:26:59,64.2539,-15.2082,41.0,60,40,6.91
102,Kodiak,US,2021-03-24 17:16:59,57.79,-152.4072,39.2,56,1,8.05
103,Danane,CI,2021-03-24 17:26:59,7.2596,-8.155,86.72,56,97,2.06
104,Moose Factory,CA,2021-03-24 17:26:59,51.2585,-80.6094,23.0,80,90,12.66
105,Saint-Joseph,RE,2021-03-24 17:27:00,-21.3667,55.6167,80.6,78,75,3.44
106,Richmond,US,2021-03-24 17:24:16,37.5538,-77.4603,57.99,100,90,9.22
107,Nizwa,OM,2021-03-24 17:23:49,22.9333,57.5333,79.14,29,0,12.21
108,Bara,NG,2021-03-24 17:27:00,10.3744,10.7288,98.6,9,12,11.5
109,Hirara,JP,2021-03-24 17:27:00,24.8,125.2833,67.62,70,97,20.78
110,Kieta,PG,2021-03-24 17:17:36,-6.2167,155.6333,78.15,83,99,0.83
111,Magalia,US,2021-03-24 17:27:00,39.8121,-121.5783,54.0,53,75,10.36
112,Eirunepe,BR,2021-03-24 17:27:01,-6.6603,-69.8736,84.52,62,94,4.52
113,Valdivia,CL,2021-03-24 17:27:01,-39.8142,-73.2459,64.4,48,0,9.22
114,Sumenep,ID,2021-03-24 17:27:01,-7.0167,113.8667,79.45,82,100,2.35
115,Georgetown,MY,2021-03-24 17:17:06,5.4112,100.3354,81.0,100,20,3.44
116,Carnarvon,AU,2021-03-24 17:27:02,-24.8667,113.6333,73.4,73,12,16.11
117,Tilichiki,RU,2021-03-24 17:27:02,60.4667,166.1,3.51,93,89,7.49
118,Mahebourg,MU,2021-03-24 17:27:02,-20.4081,57.7,77.0,94,20,2.3
119,Khatanga,RU,2021-03-24 17:24:38,71.9667,102.5,-3.62,91,100,5.32
120,Krasnyy Oktyabr,RU,2021-03-24 17:27:03,56.1167,38.8833,25.61,93,38,3.49
121,Mangaratiba,BR,2021-03-24 17:27:03,-22.9597,-44.0406,86.0,62,0,13.8
122,Puerto Narino,CO,2021-03-24 17:27:03,-3.7703,-70.3831,86.0,74,75,5.75
123,Tunceli,TR,2021-03-24 17:27:03,39.1083,39.5471,42.8,93,75,10.36
124,Castro,BR,2021-03-24 17:27:04,-24.7911,-50.0119,81.93,49,99,5.91
125,Natal,BR,2021-03-24 17:27:04,-5.795,-35.2094,87.8,66,75,13.8
126,Mount Isa,AU,2021-03-24 17:27:04,-20.7333,139.5,73.4,94,40,9.15
127,Novichikha,RU,2021-03-24 17:27:05,52.204,81.3877,24.89,86,99,14.54
128,Kauhajoki,FI,2021-03-24 17:27:05,62.4333,22.1833,39.2,75,0,4.61
129,Ordynskoye,RU,2021-03-24 17:27:05,54.3656,81.8994,24.96,94,99,14.7
130,Norman Wells,CA,2021-03-24 17:27:06,65.282,-126.8329,-2.2,71,75,6.91
131,Zaranj,AF,2021-03-24 17:27:06,30.9667,61.8833,73.4,18,0,6.91
132,Sisimiut,GL,2021-03-24 17:27:06,66.9395,-53.6735,0.16,89,99,11.14
133,Port Augusta,AU,2021-03-24 17:27:07,-32.5,137.7667,60.01,77,40,9.22
134,Pisco,PE,2021-03-24 17:24:53,-13.7,-76.2167,75.2,64,0,8.05
135,Sayyan,YE,2021-03-24 17:27:07,15.1718,44.3244,63.61,17,3,4.9
136,Churapcha,RU,2021-03-24 17:27:08,62.0025,132.4325,-22.43,100,93,3.22
137,Saint George,US,2021-03-24 17:17:42,37.1041,-113.5841,51.8,35,1,12.66
138,Cozumel,MX,2021-03-24 17:27:08,20.5083,-86.9458,86.0,62,40,14.97
139,Severo-Kurilsk,RU,2021-03-24 17:27:09,50.6789,156.125,23.85,63,86,16.89
140,Nome,US,2021-03-24 17:24:50,64.5011,-165.4064,28.0,93,90,20.71
141,Kemijarvi,FI,2021-03-24 17:27:09,66.7131,27.4306,34.18,93,100,13.04
142,Leningradskiy,RU,2021-03-24 17:27:09,69.3833,178.4167,-5.13,97,100,11.18
143,Saint-Philippe,RE,2021-03-24 17:27:10,-21.3585,55.7679,80.6,78,75,3.44
144,Rundu,NA,2021-03-24 17:27:10,-17.9333,19.7667,74.89,66,99,4.32
145,Bilibino,RU,2021-03-24 17:27:10,68.0546,166.4372,-0.85,98,100,1.7
146,Yanam,IN,2021-03-24 17:18:56,16.7333,82.2167,82.4,61,0,6.91
147,Thompson,CA,2021-03-24 17:27:11,55.7435,-97.8558,5.0,56,40,9.22
148,Suba,PH,2021-03-24 17:27:11,10.8438,121.0102,81.95,80,98,18.52
149,Sinnamary,GF,2021-03-24 17:18:04,5.3833,-52.95,82.51,70,72,11.7
150,Airai,TL,2021-03-24 17:24:53,-8.9266,125.4092,60.33,94,79,1.05
151,Hasaki,JP,2021-03-24 17:27:11,35.7333,140.8333,52.0,81,75,6.91
152,Auka,HN,2021-03-24 17:27:11,14.9333,-83.8333,86.0,74,75,11.5
153,Lata,PT,2021-03-24 17:17:43,40.1629,-8.3327,61.0,58,19,7.0
154,Yangjiang,CN,2021-03-24 17:23:21,21.85,111.9667,73.99,49,38,1.43
155,Holme,DK,2021-03-24 17:27:12,56.1138,10.1725,51.8,62,75,5.75
156,Nikolskoye,RU,2021-03-24 17:24:34,59.7035,30.7861,43.0,80,0,8.95
157,Ucluelet,CA,2021-03-24 17:26:43,48.9329,-125.5528,48.0,93,90,13.8
158,Esperance,AU,2021-03-24 17:27:12,-33.8667,121.9,55.4,82,15,4.61
159,Shingu,JP,2021-03-24 17:27:12,33.7333,135.9833,52.68,78,100,3.89
160,Warrington,GB,2021-03-24 17:27:12,53.3925,-2.5802,55.4,54,20,16.11
161,Sibolga,ID,2021-03-24 17:27:13,1.7427,98.7792,74.44,94,100,4.41
162,Liberal,US,2021-03-24 17:27:13,37.0431,-100.921,41.0,65,90,19.57
163,Kuryk,KZ,2021-03-24 17:27:13,43.2,51.65,48.25,93,50,14.36
164,Palmer,US,2021-03-24 17:25:55,42.1584,-72.3287,64.0,44,90,6.91
165,Ilulissat,GL,2021-03-24 17:27:14,69.2167,-51.1,-4.0,71,75,11.5
166,Belaya Gora,RU,2021-03-24 17:27:14,68.5333,146.4167,-22.94,99,100,5.14
167,Salalah,OM,2021-03-24 17:27:14,17.0151,54.0924,80.6,78,0,2.3
168,Sovetskiy,RU,2021-03-24 17:27:15,61.3614,63.5842,19.04,95,90,5.35
169,Ambilobe,MG,2021-03-24 17:17:40,-13.2,49.05,76.59,90,12,0.89
170,Kavieng,PG,2021-03-24 17:27:15,-2.5744,150.7967,79.05,85,100,13.22
171,Kodinsk,RU,2021-03-24 17:27:15,58.6881,99.1844,22.19,97,100,4.56
172,Makokou,GA,2021-03-24 17:17:35,0.5738,12.8642,72.66,96,100,4.43
173,Havelock,US,2021-03-24 17:16:16,34.8791,-76.9013,66.99,88,75,9.22
174,Prince Rupert,CA,2021-03-24 17:27:15,54.3161,-130.3201,42.8,93,90,9.22
175,Muros,ES,2021-03-24 17:27:16,42.7762,-9.0603,62.01,54,95,8.1
176,Jega,NG,2021-03-24 17:27:16,12.2175,4.3792,104.92,8,61,9.35
177,Yaan,NG,2021-03-24 17:18:50,7.3833,8.5667,88.63,46,84,5.06
178,Sanandaj,IR,2021-03-24 17:26:08,35.3144,46.9923,55.38,57,84,11.34
179,Adrar,MR,2021-03-24 17:17:35,20.5022,-10.0711,92.3,8,3,10.2
180,Westport,US,2021-03-24 17:16:17,41.1415,-73.3579,59.0,77,100,1.99
181,Gambo,CF,2021-03-24 17:27:16,4.6482,22.2633,81.07,56,37,3.0
